"Gyro (deg)X","Gyro (deg)Y","Gyro (deg)Z"
"3.5","1.15","-1.89","-0.06","-0.02","-0.84"
"-7.06","3.2","7.78","-0.04","0.01","-1.02"
"0.8","0.69","3.73","-0.07","-0.03","-0.9"
"2.37","-1.27","1.37","-0.06","-0.01","-0.95"
"-2.63","2.21","2.72","-0.06","-0.04","-0.97"
"-3.81","-2.46","3.53","-0.05","-0.01","-0.91"
"1.91","-0.91","4.25","-0.06","0","-0.94"
"3.29","-1.85","3.03","-0.05","-0.02","-0.9"
"5.66","-3.46","-0.34","-0.06","-0.05","-0.91"
"-5.02","-3.71","-0.93","-0.05","-0.07","-0.92"
"-5.28","-1.9","-6.97","-0.03","-0.02","-0.9"
"-6.53","2.89","-1.02","-0.08","-0.04","-1.05"
"4.74","5.76","-3.21","-0.02","-0.07","-0.88"
"-6.64","-3.54","2.88","-0.07","-0.06","-0.96"
"-2.11","-3.43","7.74","-0.02","-0.04","-0.96"
"5.98","5.21","-4.74","-0.02","-0.05","-0.93"
"-8.46","3.51","0.02","0","-0.11","-0.9"
"-9.3","6.7","11.8","-0.02","0.02","-1.02"
"5.25","-3.06","13.16","0","-0.04","-0.93"
"0.85","-8.63","18.99","-0.09","0","-0.94"
"0.37","-3.84","9.55","-0.06","-0.01","-0.9"
"5.96","-3.7","-6.88","-0.06","0","-0.88"
"1.51","-5.6","-10.18","-0.11","-0.02","-0.92"
"-1.39","-1.21","-16.83","-0.04","0.03","-0.88"
"3.65","-7.02","-21.92","-0.11","-0.02","-0.93"
"-6.62","-3.75","-18.82","-0.07","0","-0.96"
"-5.18","8.46","-34.83","-0.01","0.02","-0.89"
"-6.78","2.66","-25.31","-0.02","-0.03","-0.93"
"-15.31","9.08","-10.72","-0.02","0.01","-0.97"
"2.08","0.03","-3.79","-0.08","-0.04","-0.96"
"-10.15","6.1","6.67","-0.08","-0.04","-1.02"
"0.3","3.64","6.15","-0.04","-0.04","-0.92"
"3.76","-4.54","10.89","-0.11","-0.05","-0.98"
"-3.7","-2.69","11.57","-0.1","-0.03","-0.99"
"2.26","-1.37","4.65","-0.04","0","-0.92"
"4.28","-2.3","5.25","0.01","-0.03","-0.89"
"-3.09","7.67","7.76","-0.04","0","-0.95"
"6.1","-1.16","6.7","-0.06","-0.07","-0.88"
"-11.11","-1.37","16.81","-0.11","-0.04","-1"
"8.99","-5.76","2.04","-0.07","-0.05","-0.94"
"-5.17","0.27","7.68","-0.1","-0.01","-0.91"
"2.75","0.4","1.56","-0.06","0","-0.95"
